14:39:25.484	SERVER	admin	OK	Server was started (port: 1984).		
14:39:40.960	127.0.0.1:55542	admin	OK	QUERY[0] delete node doc("pistes/pistes.xml")/pistes/pista	1.47 ms	
14:39:41.401	127.0.0.1:55542	admin	OK	FULL[0]	440.04 ms	
14:39:41.413	127.0.0.1:55542	admin	REQUEST	EXIT	9.0 ms	
14:39:41.414	127.0.0.1:55542	admin	OK		0.34 ms	
14:39:41.419	127.0.0.1:55543	admin	OK	QUERY[0] doc("pistes/pistes.xml")/pistes/pista[@id="PS-001"]	0.18 ms	
14:39:41.428	127.0.0.1:55543	admin	OK	FULL[0]	9.18 ms	
14:53:33.072	127.0.0.1:56648	admin	OK	QUERY[0] delete node doc("pistes/pistes.xml")/pistes/pista	0.26 ms	
14:53:33.079	127.0.0.1:56648	admin	OK	FULL[0]	6.83 ms	
14:53:33.082	127.0.0.1:56648	admin	REQUEST	EXIT	0.31 ms	
14:53:33.082	127.0.0.1:56648	admin	OK		0.51 ms	
14:53:33.095	127.0.0.1:56649	admin	OK	QUERY[0] doc("pistes/pistes.xml")/pistes/pista[@id="PS-001"]	0.18 ms	
14:53:33.100	127.0.0.1:56649	admin	OK	FULL[0]	3.68 ms	
14:53:33.253	127.0.0.1:56649	admin	REQUEST	insert node <pista id="PS-001"><nom>Green Meadow</nom><color>Verda</color><oberta>true</oberta><longitud>1500</longitud><desnivell>200</desnivell><pendentMax>10</pendentMax><gruix>30</gruix><qualitat>Polsosa</qualitat><remuntadors><remuntador>Telecadira Central</remuntador><remuntador>Telesquí Sud</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	2.93 ms	
14:53:33.253	127.0.0.1:56649	admin	ERROR	Stopped at , 1/7: Unknown command: insert. Try 'help'.	0.12 ms	
14:53:33.263	127.0.0.1:56650	admin	OK	QUERY[0] doc("pistes/pistes.xml")/pistes/pista[@id="PS-001"]	0.14 ms	
14:53:33.268	127.0.0.1:56650	admin	OK	FULL[0]	4.66 ms	
14:55:43.072	127.0.0.1:56821	admin	OK	QUERY[0] delete node doc("pistes/pistes.xml")/pistes/pista	0.21 ms	
14:55:43.075	127.0.0.1:56821	admin	OK	FULL[0]	3.18 ms	
14:55:43.078	127.0.0.1:56821	admin	REQUEST	EXIT	0.26 ms	
14:55:43.078	127.0.0.1:56821	admin	OK		0.12 ms	
14:55:43.091	127.0.0.1:56822	admin	OK	QUERY[0] doc("pistes/pistes.xml")/pistes/pista[@id="PS-001"]	0.17 ms	
14:55:43.094	127.0.0.1:56822	admin	OK	FULL[0]	3.38 ms	
14:55:43.240	127.0.0.1:56822	admin	REQUEST	insert node <pista id="PS-001"><nom>Green Meadow</nom><color>Verda</color><oberta>true</oberta><longitud>1500</longitud><desnivell>200</desnivell><pendentMax>10</pendentMax><gruix>30</gruix><qualitat>Polsosa</qualitat><remuntadors><remuntador>Telecadira Central</remuntador><remuntador>Telesquí Sud</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.58 ms	
14:55:43.240	127.0.0.1:56822	admin	ERROR	Stopped at , 1/7: Unknown command: insert. Try 'help'.	0.11 ms	
14:57:04.175	127.0.0.1:56945	admin	OK	QUERY[0] delete node doc("pistes/pistes.xml")/pistes/pista	0.22 ms	
14:57:04.179	127.0.0.1:56945	admin	OK	FULL[0]	3.13 ms	
14:57:04.183	127.0.0.1:56945	admin	REQUEST	EXIT	0.44 ms	
14:57:04.183	127.0.0.1:56945	admin	OK		0.16 ms	
14:57:04.197	127.0.0.1:56947	admin	OK	QUERY[0] doc("pistes/pistes.xml")/pistes/pista[@id="PS-001"]	0.15 ms	
14:57:04.201	127.0.0.1:56947	admin	OK	FULL[0]	3.46 ms	
14:57:04.371	127.0.0.1:56947	admin	REQUEST	insert node <pista id="PS-001"><nom>Green Meadow</nom><color>Verda</color><oberta>true</oberta><longitud>1500</longitud><desnivell>200</desnivell><pendentMax>10</pendentMax><gruix>30</gruix><qualitat>Polsosa</qualitat><remuntadors><remuntador>Telecadira Central</remuntador><remuntador>Telesquí Sud</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.56 ms	
14:57:04.371	127.0.0.1:56947	admin	ERROR	Stopped at , 1/7: Unknown command: insert. Try 'help'.	0.12 ms	
15:12:45.623	127.0.0.1:58384	admin	OK	QUERY[0] delete node doc("pistes/pistes.xml")/pistes/pista	0.21 ms	
15:12:45.627	127.0.0.1:58384	admin	OK	FULL[0]	3.56 ms	
15:12:45.630	127.0.0.1:58384	admin	REQUEST	EXIT	0.32 ms	
15:12:45.631	127.0.0.1:58384	admin	OK		0.16 ms	
15:12:45.647	127.0.0.1:58391	admin	OK	QUERY[0] doc("pistes/pistes.xml")/pistes/pista[@id="PS-001"]	0.2 ms	
15:12:45.650	127.0.0.1:58391	admin	OK	FULL[0]	3.08 ms	
15:12:45.838	127.0.0.1:58391	admin	OK	CLOSE[0]	0.18 ms	
